#id;characters;meanings;firstReading;readings;partsOfSpeech;level;url
2584;目玉;Eyeball;めだま;めだま;noun;2;https://www.wanikani.com/vocabulary/%E7%9B%AE%E7%8E%89
2545;二月;February;にがつ;にがつ;noun;2;https://www.wanikani.com/vocabulary/%E4%BA%8C%E6%9C%88
2523;五日;Fifth Day, Day Five, Five Days;いつか;いつか;noun;2;https://www.wanikani.com/vocabulary/%E4%BA%94%E6%97%A5
2524;五十;Fifty;ごじゅう;ごじゅう;numeral;2;https://www.wanikani.com/vocabulary/%E4%BA%94%E5%8D%81
2548;火;Fire;ひ;ひ;noun;2;https://www.wanikani.com/vocabulary/%E7%81%AB
2526;五;Five;ご;ご;numeral;2;https://www.wanikani.com/vocabulary/%E4%BA%94
2525;五つ;Five Things;いつつ;いつつ;numeral;2;https://www.wanikani.com/vocabulary/%E4%BA%94%E3%81%A4
2561;四;Four;よん;よん, し;numeral;2;https://www.wanikani.com/vocabulary/%E5%9B%9B
2536;天才;Genius;てんさい;てんさい;noun;2;https://www.wanikani.com/vocabulary/%E5%A4%A9%E6%89%8D
2512;女の子;Girl, Young Girl, Young Lady, Young Woman;おんなのこ;おんなのこ;noun;2;https://www.wanikani.com/vocabulary/%E5%A5%B3%E3%81%AE%E5%AD%90
2514;女子;Girl, Woman;じょし;じょし;noun;2;https://www.wanikani.com/vocabulary/%E5%A5%B3%E5%AD%90
2539;上手;Good At, Skillful, Skilled At, Skilled;じょうず;じょうず;noun, な adjective;2;https://www.wanikani.com/vocabulary/%E4%B8%8A%E6%89%8B
2537;手;Hand;て;て;noun;2;https://www.wanikani.com/vocabulary/%E6%89%8B
2535;天;Heaven;てん;てん;noun;2;https://www.wanikani.com/vocabulary/%E5%A4%A9
8733;入力;Input, Enter, Entry;にゅうりょく;にゅうりょく;noun, する verb;2;https://www.wanikani.com/vocabulary/%E5%85%A5%E5%8A%9B
2520;中;Inside, In, Middle, Center;なか;なか;noun;2;https://www.wanikani.com/vocabulary/%E4%B8%AD
2544;一月;January;いちがつ;いちがつ;noun;2;https://www.wanikani.com/vocabulary/%E4%B8%80%E6%9C%88
2570;日本;Japan;にほん;にほん, にっぽん;proper noun;2;https://www.wanikani.com/vocabulary/%E6%97%A5%E6%9C%AC
2528;六月;June;ろくがつ;ろくがつ;noun;2;https://www.wanikani.com/vocabulary/%E5%85%AD%E6%9C%88
2513;子;Kid, Child;こ;こ;noun, suffix;2;https://www.wanikani.com/vocabulary/%E5%AD%90
2552;王;King;おう;おう;noun, suffix;2;https://www.wanikani.com/vocabulary/%E7%8E%8B
8693;左右;Left And Right, Both Ways, Influence, Control;さゆう;さゆう;noun, する verb;2;https://www.wanikani.com/vocabulary/%E5%B7%A6%E5%8F%B3
2567;左;Left Direction, Left;ひだり;ひだり;noun, の adjective;2;https://www.wanikani.com/vocabulary/%E5%B7%A6
2522;五月;May;ごがつ;ごがつ;noun;2;https://www.wanikani.com/vocabulary/%E4%BA%94%E6%9C%88
2532;〜円;Money, Yen;えん;えん;noun, suffix;2;https://www.wanikani.com/vocabulary/%E3%80%9C%E5%86%86
2542;月;Moon, Month;つき;つき;noun;2;https://www.wanikani.com/vocabulary/%E6%9C%88
7614;九日;Nine Days, Day Nine, Ninth Day;ここのか;ここのか;noun;2;https://www.wanikani.com/vocabulary/%E4%B9%9D%E6%97%A5
2543;十月;October;じゅうがつ;じゅうがつ;noun;2;https://www.wanikani.com/vocabulary/%E5%8D%81%E6%9C%88
7561;一日;One Day, Day One, First Day;いちにち;いちにち, ついたち;noun;2;https://www.wanikani.com/vocabulary/%E4%B8%80%E6%97%A5
2510;一千;One Thousand;いっせん;いっせん;numeral;2;https://www.wanikani.com/vocabulary/%E4%B8%80%E5%8D%83
2533;千円;One Thousand Yen, A Thousand Yen, Thousand Yen;せんえん;せんえん;noun;2;https://www.wanikani.com/vocabulary/%E5%8D%83%E5%86%86
2575;玉ねぎ;Onion, Round Onion;たまねぎ;たまねぎ;noun;2;https://www.wanikani.com/vocabulary/%E7%8E%89%E3%81%AD%E3%81%8E
7517;人々;People, Everybody;ひとびと;ひとびと;noun, の adjective;2;https://www.wanikani.com/vocabulary/%E4%BA%BA%E3%80%85
2553;王子;Prince;おうじ;おうじ;noun, suffix;2;https://www.wanikani.com/vocabulary/%E7%8E%8B%E5%AD%90
2555;王女;Princess;おうじょ;おうじょ;noun, suffix;2;https://www.wanikani.com/vocabulary/%E7%8E%8B%E5%A5%B3
2551;子犬;Puppy;こいぬ;こいぬ;noun;2;https://www.wanikani.com/vocabulary/%E5%AD%90%E7%8A%AC
