#id;characters;meanings;onyomi;kunyomi;nanori;importantReading;level;url
555;男;Man;ダン, ナン;おとこ;;onyomi;4;https://www.wanikani.com/kanji/%E7%94%B7
528;主;Master, Main;シュ;おも, ぬし;;onyomi;4;https://www.wanikani.com/kanji/%E4%B8%BB
544;名;Name, Famous;メイ, ミョウ;な;;onyomi;4;https://www.wanikani.com/kanji/%E5%90%8D
563;不;Not;フ;;;onyomi;4;https://www.wanikani.com/kanji/%E4%B8%8D
533;号;Number;ゴウ;;;onyomi;4;https://www.wanikani.com/kanji/%E5%8F%B7
529;他;Other;タ;ほか;;onyomi;4;https://www.wanikani.com/kanji/%E4%BB%96
532;去;Past;キョ, コ;さ;;onyomi;4;https://www.wanikani.com/kanji/%E5%8E%BB
540;皿;Plate, Dish;;さら;;kunyomi;4;https://www.wanikani.com/kanji/%E7%9A%BF
543;先;Previous, Ahead, Past, Former;セン;さき, まず;;onyomi;4;https://www.wanikani.com/kanji/%E5%85%88
560;赤;Red;セキ;あか;;kunyomi;4;https://www.wanikani.com/kanji/%E8%B5%A4
542;休;Rest;キュウ;やす;;onyomi;4;https://www.wanikani.com/kanji/%E4%BC%91
538;申;Say Humbly, Say, Humbly Say;シン;もう;;kunyomi;4;https://www.wanikani.com/kanji/%E7%94%B3
558;見;See;ケン;み;;kunyomi;4;https://www.wanikani.com/kanji/%E8%A6%8B
559;貝;Shellfish, Shell;;かい;;kunyomi;4;https://www.wanikani.com/kanji/%E8%B2%9D
493;石;Stone;セキ;いし;;onyomi;4;https://www.wanikani.com/kanji/%E7%9F%B3
530;代;Substitute, Replace, Period, Age;ダイ;か, かわ, しろ;;onyomi;4;https://www.wanikani.com/kanji/%E4%BB%A3
541;礼;Thanks;レイ;;;onyomi;4;https://www.wanikani.com/kanji/%E7%A4%BC
551;糸;Thread;シ;いと;;kunyomi;4;https://www.wanikani.com/kanji/%E7%B3%B8
556;町;Town;チョウ;まち;;onyomi;4;https://www.wanikani.com/kanji/%E7%94%BA
1520;宝;Treasure;ホウ;たから;;onyomi;4;https://www.wanikani.com/kanji/%E5%AE%9D
554;村;Village;ソン;むら;;kunyomi;4;https://www.wanikani.com/kanji/%E6%9D%91
527;世;World, Generation;セ, セイ;よ;;onyomi;4;https://www.wanikani.com/kanji/%E4%B8%96
546;年;Year;ネン;とし;;onyomi;4;https://www.wanikani.com/kanji/%E5%B9%B4
592;角;Angle, Corner;カク;かど, つの;;onyomi;5;https://www.wanikani.com/kanji/%E8%A7%92
8884;斤;Axe, Bread Loaf Counter;キン;;;onyomi;5;https://www.wanikani.com/kanji/%E6%96%A4
604;青;Blue;セイ, ショウ;あお;;onyomi;5;https://www.wanikani.com/kanji/%E9%9D%92
583;体;Body;タイ;からだ;;onyomi;5;https://www.wanikani.com/kanji/%E4%BD%93
579;色;Color;シキ, ショク;いろ;;kunyomi;5;https://www.wanikani.com/kanji/%E8%89%B2
590;来;Come, Next;ライ;く;;onyomi;5;https://www.wanikani.com/kanji/%E6%9D%A5
591;社;Company;シャ;やしろ;;onyomi;5;https://www.wanikani.com/kanji/%E7%A4%BE
571;当;Correct, Right, Success;トウ;あ;;onyomi;5;https://www.wanikani.com/kanji/%E5%BD%93
585;図;Diagram;ズ, ト;え, はか;;onyomi;5;https://www.wanikani.com/kanji/%E5%9B%B3
572;毎;Every;マイ;ごと;;onyomi;5;https://www.wanikani.com/kanji/%E6%AF%8E
575;羽;Feather, Feathers, Wing, Wings;ウ;はね, は, わ;;kunyomi;5;https://www.wanikani.com/kanji/%E7%BE%BD
600;林;Forest, Grove;リン;はやし;;kunyomi;5;https://www.wanikani.com/kanji/%E6%9E%97
580;行;Go;コウ, ギョウ;い, おこな, ゆ;;onyomi;5;https://www.wanikani.com/kanji/%E8%A1%8C
602;金;Gold;キン;かね;;onyomi;5;https://www.wanikani.com/kanji/%E9%87%91
605;草;Grass, Weed;ソウ;くさ;;kunyomi;5;https://www.wanikani.com/kanji/%E8%8D%89
597;里;Hometown, Village;リ;さと;;kunyomi;5;https://www.wanikani.com/kanji/%E9%87%8C
584;作;Make;サク, サ;つく;;onyomi;5;https://www.wanikani.com/kanji/%E4%BD%9C
570;多;Many, Much, Lots Of;タ;おお;;onyomi;5;https://www.wanikani.com/kanji/%E5%A4%9A
577;肉;Meat;ニク;;;onyomi;5;https://www.wanikani.com/kanji/%E8%82%89
566;会;Meet;カイ;あ;;onyomi;5;https://www.wanikani.com/kanji/%E4%BC%9A
565;交;Mix, Mingle;コウ;まじ, ま, か;;onyomi;5;https://www.wanikani.com/kanji/%E4%BA%A4
596;近;Near, Close;キン, コン;ちか;;onyomi;5;https://www.wanikani.com/kanji/%E8%BF%91
515;兄;Older Brother, Big Brother, Elder Brother;キョウ;あに, にい;;onyomi;5;https://www.wanikani.com/kanji/%E5%85%84
603;雨;Rain;ウ;あめ, あま;;kunyomi;5;https://www.wanikani.com/kanji/%E9%9B%A8
574;米;Rice, America;ベイ, マイ;こめ;;onyomi;5;https://www.wanikani.com/kanji/%E7%B1%B3
595;走;Run;ソウ;はし;;onyomi;5;https://www.wanikani.com/kanji/%E8%B5%B0
568;同;Same;ドウ;おな;;onyomi;5;https://www.wanikani.com/kanji/%E5%90%8C
593;言;Say;ゲン, ゴン;い, こと;;onyomi;5;https://www.wanikani.com/kanji/%E8%A8%80
578;自;Self, Oneself;ジ, シ;;;onyomi;5;https://www.wanikani.com/kanji/%E8%87%AA
589;形;Shape, Form, Appearance;ケイ, ギョウ;かた, かたち;;onyomi;5;https://www.wanikani.com/kanji/%E5%BD%A2
539;皮;Skin;ヒ;かわ;;onyomi;5;https://www.wanikani.com/kanji/%E7%9A%AE
601;空;Sky, Empty;クウ;そら, あ, から, す;;onyomi;5;https://www.wanikani.com/kanji/%E7%A9%BA
606;音;Sound;オン;おと, ね;;onyomi;5;https://www.wanikani.com/kanji/%E9%9F%B3
599;学;Study, Learn, Learning;ガク;まな;;onyomi;5;https://www.wanikani.com/kanji/%E5%AD%A6
567;光;Sunlight, Light;コウ;ひかり, ひか;;onyomi;5;https://www.wanikani.com/kanji/%E5%85%89
576;考;Think, Consider;コウ;かんが;;onyomi;5;https://www.wanikani.com/kanji/%E8%80%83
569;回;Times, Revolve;カイ;まわ;;onyomi;5;https://www.wanikani.com/kanji/%E5%9B%9E
594;谷;Valley;コク;たに;せ;kunyomi;5;https://www.wanikani.com/kanji/%E8%B0%B7
586;声;Voice;セイ;こえ;;kunyomi;5;https://www.wanikani.com/kanji/%E5%A3%B0
581;西;West;セイ, サイ;にし;;onyomi;5;https://www.wanikani.com/kanji/%E8%A5%BF
582;何;What;カ;なに, なん;;kunyomi;5;https://www.wanikani.com/kanji/%E4%BD%95
598;麦;Wheat, Barley, Oats;バク;むぎ;;kunyomi;5;https://www.wanikani.com/kanji/%E9%BA%A6
588;弟;Younger Brother, Little Brother;ダイ, デ, テイ;おとうと;;onyomi;5;https://www.wanikani.com/kanji/%E5%BC%9F
610;全;All, Whole;ゼン;すべ, まった;;onyomi;6;https://www.wanikani.com/kanji/%E5%85%A8
636;後;Behind, After, Back, Later;ゴ, コウ;うし, あと, のち;;onyomi;6;https://www.wanikani.com/kanji/%E5%BE%8C
619;血;Blood;ケツ;ち;;onyomi;6;https://www.wanikani.com/kanji/%E8%A1%80
609;両;Both;リョウ;;;onyomi;6;https://www.wanikani.com/kanji/%E4%B8%A1
626;明;Bright;メイ;あ, あか, あき;;onyomi;6;https://www.wanikani.com/kanji/%E6%98%8E
620;京;Capital;キョウ;みやこ;;onyomi;6;https://www.wanikani.com/kanji/%E4%BA%AC
607;化;Change;カ;ば;;onyomi;6;https://www.wanikani.com/kanji/%E5%8C%96
621;国;Country;コク;くに;;onyomi;6;https://www.wanikani.com/kanji/%E5%9B%BD
642;科;Course, Science, Department;カ;;;onyomi;6;https://www.wanikani.com/kanji/%E7%A7%91
617;死;Death;シ;し;;onyomi;6;https://www.wanikani.com/kanji/%E6%AD%BB
851;亡;Death, Deceased;ボウ;な;;onyomi;6;https://www.wanikani.com/kanji/%E4%BA%A1
629;画;Drawing, Picture, Painting;ガ, カク;;;onyomi;6;https://www.wanikani.com/kanji/%E7%94%BB
608;地;Earth, Ground;チ, ジ;;;onyomi;6;https://www.wanikani.com/kanji/%E5%9C%B0
627;東;East;トウ;ひがし;;onyomi;6;https://www.wanikani.com/kanji/%E6%9D%B1
644;食;Eat, Meal;ショク;た, く;;onyomi;6;https://www.wanikani.com/kanji/%E9%A3%9F
630;直;Fix, Direct;チョク, ジキ;なお;;onyomi;6;https://www.wanikani.com/kanji/%E7%9B%B4
633;前;Front, Before;ゼン;まえ;;onyomi;6;https://www.wanikani.com/kanji/%E5%89%8D
615;有;Have;ユウ, ウ;あ;;onyomi;6;https://www.wanikani.com/kanji/%E6%9C%89
923;私;I, Private;シ;わたし;;onyomi;6;https://www.wanikani.com/kanji/%E7%A7%81
631;知;Know;チ;し;;onyomi;6;https://www.wanikani.com/kanji/%E7%9F%A5
639;活;Lively;カツ;い;;onyomi;6;https://www.wanikani.com/kanji/%E6%B4%BB
632;長;Long, Leader;チョウ;なが;は;onyomi;6;https://www.wanikani.com/kanji/%E9%95%B7
614;曲;Music, Bend;キョク;ま;;onyomi;6;https://www.wanikani.com/kanji/%E6%9B%B2
645;首;Neck;シュ;くび;;kunyomi;6;https://www.wanikani.com/kanji/%E9%A6%96
616;次;Next;ジ;つぎ;;onyomi;6;https://www.wanikani.com/kanji/%E6%AC%A1
622;夜;Night, Evening;ヤ;よ, よる;;onyomi;6;https://www.wanikani.com/kanji/%E5%A4%9C
624;姉;Older Sister, Big Sister, Elder Sister;シ;お, あね, ねえ;;onyomi;6;https://www.wanikani.com/kanji/%E5%A7%89
641;点;Point, Decimal, Decimal Point;テン;つ;;onyomi;6;https://www.wanikani.com/kanji/%E7%82%B9
612;安;Relax, Cheap;アン;やす;;onyomi;6;https://www.wanikani.com/kanji/%E5%AE%89
635;室;Room;シツ;;;onyomi;6;https://www.wanikani.com/kanji/%E5%AE%A4
640;海;Sea, Ocean;カイ;うみ;;onyomi;6;https://www.wanikani.com/kanji/%E6%B5%B7
618;羊;Sheep;ヨウ;ひつじ;;onyomi;6;https://www.wanikani.com/kanji/%E7%BE%8A
625;店;Shop, Store;テン;みせ;;onyomi;6;https://www.wanikani.com/kanji/%E5%BA%97
634;南;South;ナン;みなみ;;onyomi;6;https://www.wanikani.com/kanji/%E5%8D%97
638;星;Star;セイ;ほし;;onyomi;6;https://www.wanikani.com/kanji/%E6%98%9F
613;州;State, Province, County;シュウ;;;onyomi;6;https://www.wanikani.com/kanji/%E5%B7%9E
643;茶;Tea;チャ, サ;;;onyomi;6;https://www.wanikani.com/kanji/%E8%8C%B6
637;思;Think, Thought;シ;おも;;onyomi;6;https://www.wanikani.com/kanji/%E6%80%9D
628;歩;Walk;ホ;ある, あゆ;;onyomi;6;https://www.wanikani.com/kanji/%E6%AD%A9
611;向;Yonder, Facing;コウ;む;なた;onyomi;6;https://www.wanikani.com/kanji/%E5%90%91
623;妹;Younger Sister, Little Sister;マイ;いもうと;;onyomi;6;https://www.wanikani.com/kanji/%E5%A6%B9
651;辺;Area;ヘン;あた, べ;;onyomi;7;https://www.wanikani.com/kanji/%E8%BE%BA
652;付;Attach;フ;つ;;kunyomi;7;https://www.wanikani.com/kanji/%E4%BB%98
649;札;Bill, Tag, Label, Note;サツ;ふだ;;onyomi;7;https://www.wanikani.com/kanji/%E6%9C%AD
675;鳥;Bird;チョウ;とり;;onyomi;7;https://www.wanikani.com/kanji/%E9%B3%A5
677;黒;Black;コク;くろ;;onyomi;7;https://www.wanikani.com/kanji/%E9%BB%92
671;船;Boat, Ship;セン;ふね;;onyomi;7;https://www.wanikani.com/kanji/%E8%88%B9
655;必;Certain;ヒツ;かなら;;onyomi;7;https://www.wanikani.com/kanji/%E5%BF%85
657;末;End;マツ;すえ;;onyomi;7;https://www.wanikani.com/kanji/%E6%9C%AB
647;氏;Family Name, Last Name, Surname;シ;うじ;;onyomi;7;https://www.wanikani.com/kanji/%E6%B0%8F
654;失;Fault;シツ;うしな;;onyomi;7;https://www.wanikani.com/kanji/%E5%A4%B1
674;魚;Fish;ギョ;さかな;;onyomi;7;https://www.wanikani.com/kanji/%E9%AD%9A
653;以;From, Since, Compared With, With, By Means Of;イ;;;onyomi;7;https://www.wanikani.com/kanji/%E4%BB%A5
670;組;Group, Association, Team;ソ;くみ;;onyomi;7;https://www.wanikani.com/kanji/%E7%B5%84
660;家;House, Home;カ, ケ;いえ, や, うち;;onyomi;7;https://www.wanikani.com/kanji/%E5%AE%B6
646;欠;Lack;ケツ;か;;onyomi;7;https://www.wanikani.com/kanji/%E6%AC%A0
656;未;Not Yet;ミ;ま, いま, ひつじ;;onyomi;7;https://www.wanikani.com/kanji/%E6%9C%AA
663;紙;Paper;シ;かみ;;kunyomi;7;https://www.wanikani.com/kanji/%E7%B4%99
665;通;Pass Through;ツウ;とお, かよ;;onyomi;7;https://www.wanikani.com/kanji/%E9%80%9A
650;民;Peoples, People, Nation;ミン;たみ;;onyomi;7;https://www.wanikani.com/kanji/%E6%B0%91
648;由;Reason;ユウ;よし, よ;;onyomi;7;https://www.wanikani.com/kanji/%E7%94%B1
669;理;Reason;リ;ことわり;;onyomi;7;https://www.wanikani.com/kanji/%E7%90%86
658;校;School;コウ;;;onyomi;7;https://www.wanikani.com/kanji/%E6%A0%A1
673;雪;Snow;セツ;ゆき;;kunyomi;7;https://www.wanikani.com/kanji/%E9%9B%AA
667;強;Strong, Strength;キョウ;つよ;;onyomi;7;https://www.wanikani.com/kanji/%E5%BC%B7
659;夏;Summer;ゲ, カ, ガ;なつ;;kunyomi;7;https://www.wanikani.com/kanji/%E5%A4%8F
666;高;Tall, Expensive, High;コウ;たか;;onyomi;7;https://www.wanikani.com/kanji/%E9%AB%98
668;教;Teach;キョウ;おし, おそ;;onyomi;7;https://www.wanikani.com/kanji/%E6%95%99
662;時;Time, O'clock, Hour;ジ;とき;;onyomi;7;https://www.wanikani.com/kanji/%E6%99%82
661;弱;Weak;ジャク;よわ;;onyomi;7;https://www.wanikani.com/kanji/%E5%BC%B1
672;週;Week;シュウ;;;onyomi;7;https://www.wanikani.com/kanji/%E9%80%B1
853;風;Wind, Style;フウ, フ;かぜ;;onyomi;7;https://www.wanikani.com/kanji/%E9%A2%A8
664;記;Write Down, Record;キ;しる;;onyomi;7;https://www.wanikani.com/kanji/%E8%A8%98
676;黄;Yellow;オウ;き;;kunyomi;7;https://www.wanikani.com/kanji/%E9%BB%84
697;答;Answer, Response, Reply;トウ;こた;;kunyomi;8;https://www.wanikani.com/kanji/%E7%AD%94
855;反;Anti;ハン;;;onyomi;8;https://www.wanikani.com/kanji/%E5%8F%8D
682;君;Buddy;クン;きみ;;onyomi;8;https://www.wanikani.com/kanji/%E5%90%9B
684;局;Bureau, Department;キョク;;;onyomi;8;https://www.wanikani.com/kanji/%E5%B1%80
699;買;Buy;バイ;か;;kunyomi;8;https://www.wanikani.com/kanji/%E8%B2%B7
702;雲;Cloud;ウン;くも;;kunyomi;8;https://www.wanikani.com/kanji/%E9%9B%B2
704;楽;Comfort, Ease, Pleasure;ラク, ガク;たの;;onyomi;8;https://www.wanikani.com/kanji/%E6%A5%BD
703;数;Count, Number, Amount;スウ;かぞ, かず;;onyomi;8;https://www.wanikani.com/kanji/%E6%95%B0
687;決;Decide, Decision;ケツ;き;;onyomi;8;https://www.wanikani.com/kanji/%E6%B1%BA
698;絵;Drawing, Painting;エ;;;onyomi;8;https://www.wanikani.com/kanji/%E7%B5%B5
679;住;Dwelling, Reside, Dwell;ジュウ;す;;onyomi;8;https://www.wanikani.com/kanji/%E4%BD%8F
706;電;Electricity;デン;;;onyomi;8;https://www.wanikani.com/kanji/%E9%9B%BB
693;森;Forest, Woods;シン;もり;;kunyomi;8;https://www.wanikani.com/kanji/%E6%A3%AE
680;助;Help;ジョ;たす, すけ;;onyomi;8;https://www.wanikani.com/kanji/%E5%8A%A9
